SubFunctionID|Descr|FunctionID
934|Electroencephalographic Technician|22
935|Histotechnologist|22
936|Lab Technician|22
937|Neuromonitoring Technician|22
938|Optometrist|22
939|Pathologist|22
940|Phlebotomist|22
941|Radiologist Technician|22
942|Sonographer|22
943|Ultrasound Technologist|22
944|Imaging & Diagnostics - Other|22
945|Nursing|22
946|Associate Nurse Unit Manager|22
947|Clinical Nurse Specialist|22
948|Emergency Department Nurse|22
949|Enrolled Nurse|22
950|Nurse Practitioners|22
951|Nurse Unit Manager|22
952|Registered Nurse|22
953|Nursing - Other|22
954|Healthcare & Life Sciences - Other|22
955|Healthcare & Life Sciences - Other|22
956|Other Hospital Staff|22
957|Clinical Assistant|22
958|Patient Service Assistant|22
959|Pharmacist|22
960|Volunteer|22
961|Ward Clerk|22
962|Other Hospital Staff - Other|22
963|Corporate Affairs|23
964|Corporate Law|23
965|Digital Media & Internet|23
966|Head - Regulatory Affairs|23
967|Intellectual Property (IP)|23
968|Labour / Employment|23
969|Legal Management Consulting|23
970|Mergers & Acquisitions (M & A)|23
971|Real Estate|23
972|Regulatory Affairs Compliance|23
973|Corporate Affairs - Other|23
974|Crime / Arbitration|23
975|Criminal Law|23
976|Legal Malpractice / Professional Responsibility|23
977|Personal Injury|23
978|Crime / Arbitration - Other|23
979|Legal Operations|23
980|Chief Legal Officer (CLO)|23
981|Due Diligence|23
982|Legal Administration|23
983|Legal Documentation / Research|23
984|Legal Entity Management|23
985|Legal Liaisoning|23
986|Legal Officer|23
987|Legal Operations - Other|23
988|Legal & Regulatory - Other|23
989|Bankruptcy|23
990|Civil Litigation|23
991|Family Law|23
992|Immigration|23
993|Private Attorney / Lawyer|23
994|Legal & Regulatory - Other|23
995|Legal Rights - Other|23
996|Animation / Effects|24
997|Animator|24
998|VFX Editor|24
999|Visual Effect Artist|24
1000|Visual Effect Supervisor|24
1001|Animation / Effects - Other|24
1002|Artists|24
1003|Actor|24
1004|Choreographer|24
1005|Dance Crew Member|24
1006|Junior Artist|24
1007|Lyricist|24
1008|Music Arranger|24
1009|Music Composer|24
1010|Photographer|24
1011|Radio Jockey / Voiceover Artist|24
1012|Screen Writer|24
1013|Script Writer|24
1014|Singer / Vocalist|24
1015|Stunt Man / Body Double|24
1016|Videographer|24
1017|Voice-over Artist|24
1018|Artists - Other|24
1019|Direction|24
1020|Animation Director|24
1021|Art Director|24
1022|Assistant Director|24
1023|Casting Director|24
1024|Cinematographer|24
1025|Creative Director|24
1026|Director Of Photography|24
1027|Film Director|24
1028|Sound Director|24
1029|Technical Director|24
1030|Direction - Other|24
1031|Editing|24
1032|Film Editor|24
1033|Music Editor|24
1034|News Copy Editor|24
